RMSE,Penalty
7.80167e-15,21
7.70633e-14,17
2.07922e-13,13
1.2368e-13,15
4.94297e-15,14
7.1489e-14,12
0.169956,9
3.28887e-15,11
2.40488e-15,11
0.204838,9
0.203108,8
0.177672,9
0.154083,9
0.212562,7
0.354223,4
0.0383307,9
0.0617503,8
1.92578e-15,11
0.110779,5
0.0440922,7
0.0755979,7
0.102567,4
0.00583719,7
0.0736405,4
0.00124043,8
0.116377,3
0.0422725,8
0.055266,5
0.0506868,6
0.0356897,8
0.0673447,5
0.122467,5
0.000325023,10
0.0200245,7
0.0422994,6
0.0445008,6
0.0580536,4
0.102776,4
0.0449419,7
0.115416,4
0.0579792,7
0.0358671,7
0.0578407,7
0.0419579,7
0.0516227,4
0.0372349,8
0.00924392,5
0.0432806,8
0.127852,3
0.0401772,6
0.0080315,6
0.0478818,8
0.0626981,7
0.0376866,7
0.62992,3
0.0448285,5
0.116504,5
0.00330301,8
0.0590318,6
0.0745395,7
0.0992649,8
0.0196752,9
0.112059,5
0.119303,2
0.0461596,7
0.0372092,6
0.061445,7
0.0512567,4
0.0261656,4
0.0506444,7
0.0407412,5
0.00753889,8
0.0356765,10
0.0726511,5
0.0377851,9
0.00233066,7
0.0434215,8
2.03766e-15,12
0.0543959,8
0.00259251,7
0.0503824,8
0.00448411,9
0.0162412,8
0.00260758,8
0.129467,2
0.112382,2
0.0751151,4
0.0433067,6
0.0377683,5
0.0415313,10
0.0882137,7
0.0990437,4
0.0434921,4
0.00390459,6
0.105349,5
0.065347,4
0.530423,6
0.007655,7
2.33017e-13,12
0.0441524,7
